"","correct","stop","time","midpoint","diff"
"1",TRUE,FALSE,17.7512710094452,5,1
"2",TRUE,FALSE,1.11302900314331,6,2
"3",TRUE,FALSE,1.7820930480957,7,3
"4",TRUE,FALSE,1.53497791290283,7,2
"5",TRUE,FALSE,1.15111088752747,7,1
"6",TRUE,FALSE,1.10585308074951,6,1
"7",FALSE,FALSE,1.3410108089447,7,2
"8",TRUE,FALSE,0.961235046386719,5,2
"9",TRUE,FALSE,0.979452848434448,6,3
"10",TRUE,FALSE,1.47847199440002,5,1
"11",TRUE,FALSE,1.03568601608276,7,1
"12",TRUE,FALSE,1.01154804229736,5,3
"13",TRUE,FALSE,1.04067397117615,6,1
"14",TRUE,FALSE,0.932136058807373,6,3
"15",TRUE,FALSE,1.08252191543579,6,2
"16",TRUE,FALSE,0.947704076766968,5,2
"17",TRUE,FALSE,1.04568004608154,7,3
"18",TRUE,FALSE,1.01659989356995,5,3
