"","correct","stop","time","midpoint","diff"
"1",TRUE,FALSE,8.42656707763672,5,1
"2",TRUE,FALSE,3.8570671081543,6,2
"3",TRUE,FALSE,3.41836094856262,7,3
"4",TRUE,FALSE,8.33805108070374,7,2
"5",TRUE,FALSE,7.13759994506836,7,1
"6",TRUE,FALSE,6.86535501480103,6,1
"7",TRUE,FALSE,2.92917203903198,7,2
"8",TRUE,FALSE,1.90439701080322,5,2
"9",TRUE,FALSE,1.51360177993774,6,3
"10",TRUE,FALSE,1.69919109344482,5,1
"11",TRUE,FALSE,2.70632791519165,7,1
"12",TRUE,FALSE,1.28117084503174,5,3
"13",TRUE,FALSE,1.85000014305115,6,1
"14",TRUE,FALSE,1.31278085708618,6,3
"15",TRUE,FALSE,1.73445105552673,6,2
"16",TRUE,FALSE,1.55568194389343,5,2
"17",TRUE,FALSE,1.55303001403809,7,3
"18",TRUE,FALSE,1.13151407241821,5,3
