"","correct","stop","time","midpoint","diff"
"1",TRUE,FALSE,4.48013663291931,5,1
"2",TRUE,FALSE,2.10753417015076,6,2
"3",TRUE,FALSE,1.15184712409973,7,3
"4",TRUE,FALSE,1.47738242149353,7,2
"5",TRUE,FALSE,1.2617974281311,7,1
"6",TRUE,FALSE,0.921778917312622,6,1
"7",TRUE,FALSE,1.48164248466492,7,2
"8",TRUE,FALSE,1.65127468109131,5,2
"9",TRUE,FALSE,1.18458604812622,6,3
"10",TRUE,FALSE,1.74890470504761,5,1
"11",FALSE,FALSE,1.72270202636719,7,1
"12",TRUE,FALSE,1.10439252853394,5,3
"13",TRUE,FALSE,2.07048773765564,6,1
"14",TRUE,FALSE,1.20152640342712,6,3
"15",TRUE,FALSE,1.59335827827454,6,2
"16",TRUE,FALSE,1.05930233001709,5,2
"17",TRUE,FALSE,1.24471545219421,7,3
"18",TRUE,FALSE,1.03660273551941,5,3
