"","correct","stop","time","midpoint","diff"
"1",TRUE,FALSE,2.01586508750916,5,1
"2",TRUE,FALSE,0.567457914352417,6,2
"3",FALSE,FALSE,0.119080066680908,7,3
"4",TRUE,FALSE,0.000210046768188477,7,2
"5",TRUE,FALSE,0.000212907791137695,7,1
"6",FALSE,FALSE,0.111457109451294,6,1
"7",FALSE,FALSE,0.000217199325561523,7,2
"8",TRUE,FALSE,0.112329006195068,5,2
"9",FALSE,FALSE,0.111878156661987,6,3
"10",TRUE,FALSE,0.000240087509155273,5,1
"11",TRUE,FALSE,0.000504970550537109,7,1
"12",FALSE,FALSE,0.000273942947387695,5,3
"13",TRUE,FALSE,0.000293970108032227,6,1
"14",FALSE,FALSE,0.110326051712036,6,3
"15",TRUE,FALSE,0.000226020812988281,6,2
"16",TRUE,FALSE,0.000218868255615234,5,2
"17",FALSE,FALSE,0.105846166610718,7,3
"18",FALSE,FALSE,0.000224828720092773,5,3
